person,word,freq
burr,12,2
burr,actions,2
burr,activities,2
burr,again,2
burr,aimed,2
burr,allegations,2
burr,america,2
burr,anyone,2
burr,appear,2
burr,appreciate,2
burr,aware,2
burr,based,2
burr,behalf,2
burr,both,2
burr,bureau,2
burr,c,2
burr,call,2
burr,chair,2
burr,clinton,2
burr,colleague,2
burr,committee's,2
burr,contact,2
burr,content,2
burr,counter-intelligence,2
burr,counterintelligence,2
burr,cyber,2
burr,d,2
burr,department,2
burr,does,2
burr,entities,2
burr,establish,2
burr,expired,2
burr,fbi's,2
burr,forward,2
burr,frame,2
burr,get,2
burr,given,2
burr,he,2
burr,helpful,2
burr,how,2
burr,i'm,2
burr,important,2
burr,importantly,2
burr,information,2
burr,intrusion,2
burr,involvement,2
burr,jim,2
burr,job,2
burr,legal,2
burr,level,2
burr,links,2
burr,make,2
burr,me,2
burr,mind,2
burr,mission,2
burr,most,2
burr,move,2
burr,normal,2
burr,now,2
burr,oath,2
burr,one,2
burr,only,2
burr,open,2
burr,order,2
burr,oversight,2
burr,photographers,2
burr,possession,2
burr,president's,2
burr,press,2
burr,promptly,2
burr,prosecutor,2
burr,provides,2
burr,questions,2
burr,read,2
burr,recognized,2
burr,reconvene,2
burr,record,2
burr,related,2
burr,relationship,2
burr,return,2
burr,right,2
burr,safe,2
burr,service,2
burr,share,2
burr,since,2
burr,special,2
burr,specific,2
burr,speculation,2
burr,state,2
burr,states,2
burr,stop,2
burr,sure,2
burr,tell,2
burr,than,2
burr,that's,2
burr,their,2
burr,them,2
burr,these,2
burr,those,2
burr,three,2
burr,tools,2
burr,triple,2
burr,trying,2
burr,under,2
burr,understand,2
burr,united,2
burr,vote,2
burr,want,2
burr,warner,2
burr,wasn't,2
burr,way,2
burr,we'll,2
burr,we've,2
burr,written,2
burr,year,2
burr,years,2
burr,yesterday,2
burr,you'll,2
burr,you're,2
burr,--,1
burr,100%,1
burr,1:45,1
burr,2018,1
burr,2020,1
burr,27th,1
burr,2:00,1
burr,2:10,1
burr,30th,1
burr,36-page,1
burr,85,1
burr,above,1
burr,abroad,1
burr,access,1
burr,accomplish,1
burr,accounts,1
burr,accurate,1
burr,action,1
burr,actual,1
burr,addition,1
burr,addressed,1
burr,adjourn,1
burr,adjourned,1
burr,adjourned,1
burr,agents,1
burr,agreed,1
burr,agrees,1
burr,already,1
burr,alter,1
burr,altered,1
burr,americans,1
burr,and/or,1
burr,announce,1
burr,appearance,1
burr,around,1
burr,asking,1
burr,aspect,1
burr,attempt,1
burr,attempted,1
burr,attorney,1
burr,authorities,1
burr,average,1
burr,back,1
burr,bad,1
burr,because,1
burr,being,1
burr,beyond,1
burr,biggest,1
burr,bill,1
burr,bipartisan,1
burr,blackmail,1
burr,body,1
burr,branch,1
burr,briefly,1
burr,broader,1
burr,campaign,1
burr,candid,1
burr,candidate,1
burr,candidly,1
burr,candor,1
burr,capacity,1
burr,carry,1
burr,case,1
burr,cases,1
burr,cast,1
burr,certify,1
burr,challenge,1
burr,changed,1
burr,charged,1
burr,charges,1
burr,choice,1
burr,chose,1
burr,claimed,1
burr,claims,1
burr,classified,1
burr,clear,1
burr,clearly,1
burr,closely,1
burr,cloud,1
burr,colleagues,1
burr,collected,1
burr,collins,1
burr,comments,1
burr,commitment,1
burr,concern,1
burr,concerns,1
burr,concluded,1
burr,confident,1
burr,confirm,1
burr,congress,1
burr,constantly,1
burr,contained,1
burr,context,1
burr,continue,1
burr,continues,1
burr,contributed,1
burr,conversation,1
burr,conversations,1
burr,cooperation,1
burr,coordination,1
burr,cotton,1
burr,couldn't,1
burr,counsel,1
burr,counsel's,1
burr,counter,1
burr,country's,1
burr,cover,1
burr,create,1
burr,criminality,1
burr,criticized,1
burr,cross,1
burr,cycle,1
burr,data,1
burr,day,1
burr,decide,1
burr,decision-making,1
burr,dedicated,1
burr,define,1
burr,depart,1
burr,departure,1
burr,describe,1
burr,described,1
burr,describing,1
burr,descriptions,1
burr,details,1
burr,determine,1
burr,differences,1
burr,dinner,1
burr,directed,1
burr,directly,1
